Item_Id,Item_Description,Unit_Indicator,Decimal_Indicator,US_Total,Source1,Source11
AFN110197D,Accommodation and Food Services: total (NAICS 72) - establishments with payroll 1997,ABS,0,545068,CENSUS-ECON,
AFN110202D,Accommodation and Food Services: total (NAICS 72) - establishments with payroll 2002,ABS,0,565590,CENSUS-ECON,
AFN110207D,Accommodation and Food Services: total (NAICS 72) - establishments with payroll 2007,ABS,0,634361,CENSUS-ECON,
AFN120197D,Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 1997,TH$,0,350399194,CENSUS-ECON,
AFN120202D,Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002,TH$,0,449498718,CENSUS-ECON,
AFN120207D,Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007,TH$,0,613795732,CENSUS-ECON,
AFN130197D,Accommodation and Food Services: total (NAICS 72) - annual payroll 1997,TH$,0,97007396,CENSUS-ECON,
AFN130202D,Accommodation and Food Services: total (NAICS 72) - annual payroll 2002,TH$,0,127554483,CENSUS-ECON,
AFN130207D,Accommodation and Food Services: total (NAICS 72) - annual payroll 2007,TH$,0,170826847,CENSUS-ECON,
AFN140197D,"Accommodation and Food Services: total (NAICS 72) - paid employees for pay period including March 12, 1997",ABS,0,9451226,CENSUS-ECON,
AFN140202D,"Accommodation and Food Services: total (NAICS 72) - paid employees for pay period including March 12, 2002",ABS,0,10120951,CENSUS-ECON,
AFN140207D,"Accommodation and Food Services: total (NAICS 72) - paid employees for pay period including March 12, 2007",ABS,0,11600751,CENSUS-ECON,
AFN210197D,Accommodation and Food Services: accommodation (NAICS 721) - establishments with payroll 1997,ABS,0,58162,CENSUS-ECON,
AFN210202D,Accommodation and Food Services: accommodation (NAICS 721) - establishments with payroll 2002,ABS,0,60949,CENSUS-ECON,
AFN210207D,Accommodation and Food Services: accommodation (NAICS 721) - establishments with payroll 2007,ABS,0,62740,CENSUS-ECON,
AFN220197D,Accommodation and Food Services: accommodation (NAICS 721) - sales of establishments with payroll 1997,TH$,0,98457431,CENSUS-ECON,
AFN220202D,Accommodation and Food Services: accommodation (NAICS 721) - sales of establishments with payroll 2002,TH$,0,128098210,CENSUS-ECON,
AFN220207D,Accommodation and Food Services: accommodation (NAICS 721) - sales of establishments with payroll 2007,TH$,0,180391205,CENSUS-ECON,
AFN230197D,Accommodation and Food Services: accommodation (NAICS 721) - annual payroll 1997,TH$,0,26673852,CENSUS-ECON,
AFN230202D,Accommodation and Food Services: accommodation (NAICS 721) - annual payroll 2002,TH$,0,34955244,CENSUS-ECON,
AFN230207D,Accommodation and Food Services: accommodation (NAICS 721) - annual payroll 2007,TH$,0,46393287,CENSUS-ECON,
AFN240197D,"Accommodation and Food Services: accommodation (NAICS 721) - paid employees for pay period including March 12, 1997",ABS,0,1696659,CENSUS-ECON,
AFN240202D,"Accommodation and Food Services: accommodation (NAICS 721) - paid employees for pay period including March 12, 2002",ABS,0,1813326,CENSUS-ECON,
AFN240207D,"Accommodation and Food Services: accommodation (NAICS 721) - paid employees for pay period including March 12, 2007",ABS,0,1970661,CENSUS-ECON,
AFN310197D,Accommodation and Food Services: food services & drinking places (NAICS 722) - establishments with payroll 1997,ABS,0,486906,CENSUS-ECON,
AFN310202D,Accommodation and Food Services: food services & drinking places (NAICS 722) - establishments with payroll 2002,ABS,0,504641,CENSUS-ECON,
AFN310207D,Accommodation and Food Services: food services & drinking places (NAICS 722) - establishments with payroll 2007,ABS,0,571621,CENSUS-ECON,
AFN320197D,Accommodation and Food Services: food services & drinking places (NAICS 722) - sales of establishments with payroll 1997,TH$,0,251941763,CENSUS-ECON,
AFN320202D,Accommodation and Food Services: food services & drinking places (NAICS 722) - sales of establishments with payroll 2002,TH$,0,321400508,CENSUS-ECON,
AFN320207D,Accommodation and Food Services: food services & drinking places (NAICS 722) - sales of establishments with payroll 2007,TH$,0,433404527,CENSUS-ECON,
AFN330197D,Accommodation and Food Services: food services & drinking places (NAICS 722) - annual payroll 1997,TH$,0,70333544,CENSUS-ECON,
AFN330202D,Accommodation and Food Services: food services & drinking places (NAICS 722) - annual payroll 2002,TH$,0,92599239,CENSUS-ECON,
AFN330207D,Accommodation and Food Services: food services & drinking places (NAICS 722) - annual payroll 2007,TH$,0,124433560,CENSUS-ECON,
AFN340197D,"Accommodation and Food Services: food services & drinking places (NAICS 722) - paid employees for pay period incl. March 12,1997",ABS,0,7754567,CENSUS-ECON,
AFN340202D,"Accommodation and Food Services: food services & drinking places (NAICS 722) - paid employees for pay period incl. March 12, 2002",ABS,0,8307625,CENSUS-ECON,
AFN340207D,"Accommodation and Food Services: food services & drinking places (NAICS 722) - paid employees for pay period incl. March 12, 2007",ABS,0,9630090,CENSUS-ECON,
AGE010180D,Resident population (complete count) 1980,ABS,0,226545805,CENSUS-1980,
AGE010190D,Resident population (complete count) 1990,ABS,0,248709873,CENSUS-1990,
AGE010200D,Resident population (April 1 - complete count) 2000,ABS,0,281421906,CENSUSPOPEST,
AGE010210D,Resident population (April 1 - complete count) 2010,ABS,0,308745538,CENSUS-2010,
AGE030200D,Resident population total (April 1 - estimates base) 2000,ABS,0,281424602,CENSUSPOPEST,
AGE040200D,Resident population total (July 1 - estimate) 2000,ABS,0,282171957,CENSUSPOPEST,
AGE040201D,Resident population total (July 1 - estimate) 2001,ABS,0,285081556,CENSUSPOPEST,
AGE040202D,Resident population total (July 1 - estimate) 2002,ABS,0,287803914,CENSUSPOPEST,
AGE040203D,Resident population total (July 1 - estimate) 2003,ABS,0,290326418,CENSUSPOPEST,
AGE040204D,Resident population total (July 1 - estimate) 2004,ABS,0,293045739,CENSUSPOPEST,
AGE040205D,Resident population total (July 1 - estimate) 2005,ABS,0,295753151,CENSUSPOPEST,
AGE040206D,Resident population total (July 1 - estimate) 2006,ABS,0,298593212,CENSUSPOPEST,
AGE040207D,Resident population total (July 1 - estimate) 2007,ABS,0,301579895,CENSUSPOPEST,
AGE040208D,Resident population total (July 1 - estimate) 2008,ABS,0,304374846,CENSUSPOPEST,
AGE040209D,Resident population total (July 1 - estimate) 2009,ABS,0,307006550,CENSUSPOPEST,
AGE050180D,Resident population: Median age (complete count) 1980,YRS,1,30,CENSUS-1980,
AGE050190D,Resident population: Median age (complete count) 1990,YRS,1,32.9,CENSUS-1990,
AGE050200D,Resident population: Median age (April 1 - complete count) 2000,YRS,1,35.3,CENSUS-2000,
AGE050210D,Resident population: Median age (April 1 - complete count) 2010,YRS,1,37.2,CENSUS-2010,
AGE110180D,Resident population under 5 years (complete count) 1980,ABS,0,16348254,CENSUS-1980,
AGE110190D,Resident population under 5 years (complete count) 1990,ABS,0,18354443,CENSUS-1990,
AGE110200D,Resident population under 5 years (April 1 - complete count) 2000,ABS,0,19175798,CENSUSPOPEST,
AGE110210D,Resident population under 5 years (April 1 - complete count) 2010,ABS,0,20201362,CENSUS-2010,
AGE115210D,"Resident population under 5 years, percent (April 1 - complete count) 2010",PCT,1,6.5,CENSUS-2010,
AGE120200D,Resident population under 5 years (April 1 - estimates base) 2000,ABS,0,19176154,CENSUSPOPEST,
AGE130200D,Resident population under 5 years (July 1 - estimate) 2000,ABS,0,19203635,CENSUSPOPEST,
AGE130201D,Resident population under 5 years (July 1 - estimate) 2001,ABS,0,19430394,CENSUSPOPEST,
AGE130202D,Resident population under 5 years (July 1 - estimate) 2002,ABS,0,19667991,CENSUSPOPEST,
AGE130203D,Resident population under 5 years (July 1 - estimate) 2003,ABS,0,19939783,CENSUSPOPEST,
AGE130204D,Resident population under 5 years (July 1 - estimate) 2004,ABS,0,20243450,CENSUSPOPEST,
AGE130205D,Resident population under 5 years (July 1 - estimate) 2005,ABS,0,20483758,CENSUSPOPEST,
AGE130206D,Resident population under 5 years (July 1 - estimate) 2006,ABS,0,20612794,CENSUSPOPEST,
AGE130207D,Resident population under 5 years (July 1 - estimate) 2007,ABS,0,20921289,CENSUSPOPEST,
AGE130208D,Resident population under 5 years (July 1 - estimate) 2008,ABS,0,21152563,CENSUSPOPEST,
AGE130209D,Resident population under 5 years (July 1 - estimate) 2009,ABS,0,21299656,CENSUSPOPEST,
AGE135200D,"Resident population under 5 years, percent (July 1 - estimate) 2000",PCT,1,6.8,CENSUSPOPEST,
AGE135201D,"Resident population under 5 years, percent (July 1 - estimate) 2001",PCT,1,6.8,CENSUSPOPEST,
AGE135202D,"Resident population under 5 years, percent (July 1 - estimate) 2002",PCT,1,6.8,CENSUSPOPEST,
AGE135203D,"Resident population under 5 years, percent (July 1 - estimate) 2003",PCT,1,6.9,CENSUSPOPEST,
AGE135204D,"Resident population under 5 years, percent (July 1 - estimate) 2004",PCT,1,6.9,CENSUSPOPEST,
AGE135205D,"Resident population under 5 years, percent (July 1 - estimate) 2005",PCT,1,6.9,CENSUSPOPEST,
AGE135206D,"Resident population under 5 years, percent (July 1 - estimate) 2006",PCT,1,6.9,CENSUSPOPEST,
AGE135207D,"Resident population under 5 years, percent (July 1 - estimate) 2007",PCT,1,6.9,CENSUSPOPEST,
AGE135208D,"Resident population under 5 years, percent (July 1 - estimate) 2008",PCT,1,6.9,CENSUSPOPEST,
AGE135209D,"Resident population under 5 years, percent (July 1 - estimate) 2009",PCT,1,6.9,CENSUSPOPEST,
